status,priority,updated,issue_type,reporter,created,resolutiondate,vote_count,project,assignee,comment_count,key,description_length,summary_length,watch_count,resolution,days_in_current_status,from_status,when,days_in_from_status,who,to_status,days_since_open,transition,weekday,week_of_year,day,month,year,sec_to_sol,sec_passed_so_far,logsec_to_sol,transictions_so_far,issue_solved_by_assignee,calendar_day,count,count_month_of_year,count_year,team_count
0,2,2009-10-14T18:53:05.156+0000,0,cutting,2009-09-22T18:03:16.675+0000,2009-09-24T21:42:30.964+0000,0,AVRO,14,5,AVRO-118,105.0,60,1,1,3115.51271635,0,2009-09-22T18:03:16.675+0000,0.0,22,0,0.0,Non-existent to Open,1.0,39.0,22.0,9.0,2009.0,185954.289,0.0,12.13325616442736,0.0,4,22-9-2009,19,222,2940,2.0
0,2,2009-09-16T22:31:45.810+0000,0,cutting,2009-07-31T23:29:09.334+0000,2009-08-12T16:39:45.397+0000,0,AVRO,14,4,AVRO-87,39.0,28,0,1,3143.36085705,0,2009-07-31T23:29:09.334+0000,0.0,22,0,0.0,Non-existent to Open,4.0,31.0,31.0,7.0,2009.0,1012236.063,0.0,13.827672365461762,0.0,4,31-7-2009,15,200,2940,2.0
0,2,2009-09-16T22:31:45.810+0000,0,cutting,2009-07-31T23:29:09.334+0000,2009-08-12T16:39:45.397+0000,0,AVRO,14,4,AVRO-87,39.0,28,0,1,3143.36085705,1,2009-08-11T05:54:00.241+0000,10.2672558681,129,1,10.2672558681,Open to Patch Available,1.0,33.0,11.0,8.0,2009.0,125145.156,887090.907,11.737229590557504,1.0,4,11-8-2009,1,234,2940,2.0
0,2,2009-09-16T22:31:45.722+0000,0,thiru_mg,2009-07-28T22:28:33.027+0000,2009-07-31T20:12:57.299+0000,0,AVRO,14,2,AVRO-85,939.0,59,1,1,3143.36085828,0,2009-07-28T22:28:33.027+0000,0.0,129,0,0.0,Non-existent to Open,1.0,31.0,28.0,7.0,2009.0,251064.272,0.0,12.433464249080215,0.0,4,28-7-2009,15,200,2940,1.0
0,2,2009-09-16T22:31:45.722+0000,0,thiru_mg,2009-07-28T22:28:33.027+0000,2009-07-31T20:12:57.299+0000,0,AVRO,14,2,AVRO-85,939.0,59,1,1,3143.36085828,1,2009-07-30T15:43:44.642+0000,1.71888443287,129,1,1.71888443287,Open to Patch Available,3.0,31.0,30.0,7.0,2009.0,102552.657,148511.615,11.538131672477416,1.0,4,30-7-2009,1,200,2940,1.0
0,3,2009-09-16T22:31:45.562+0000,1,thiru_mg,2009-07-23T05:10:47.902+0000,2009-07-28T18:50:35.856+0000,0,AVRO,14,6,AVRO-82,284.0,60,0,1,3143.36086014,0,2009-07-23T05:10:47.902+0000,0.0,129,0,0.0,Non-existent to Open,3.0,30.0,23.0,7.0,2009.0,481187.954,0.0,13.084013229519115,0.0,4,23-7-2009,16,200,2940,2.0
0,3,2009-09-16T22:31:45.562+0000,1,thiru_mg,2009-07-23T05:10:47.902+0000,2009-07-28T18:50:35.856+0000,0,AVRO,14,6,AVRO-82,284.0,60,0,1,3143.36086014,1,2009-07-23T05:15:26.520+0000,0.00322474537037,129,1,0.00322474537037,Open to Patch Available,3.0,30.0,23.0,7.0,2009.0,480909.336,278.618,13.083434040676813,1.0,4,23-7-2009,0,200,2940,2.0
0,3,2009-09-16T22:31:45.562+0000,1,thiru_mg,2009-07-23T05:10:47.902+0000,2009-07-28T18:50:35.856+0000,0,AVRO,14,6,AVRO-82,284.0,60,0,1,3143.36086014,2,2009-07-23T17:51:00.475+0000,0.524698553241,22,0,0.527923298611,Patch Available to Open,3.0,30.0,23.0,7.0,2009.0,435575.381,45612.573,12.984423150996571,2.0,4,23-7-2009,16,200,2940,2.0
0,2,2009-09-16T22:31:45.394+0000,0,thiru_mg,2009-07-18T04:29:51.019+0000,2009-07-20T21:04:14.248+0000,0,AVRO,14,1,AVRO-79,345.0,62,0,1,3143.3608619,0,2009-07-18T04:29:51.019+0000,0.0,129,0,0.0,Non-existent to Open,5.0,29.0,18.0,7.0,2009.0,232463.229,0.0,12.356487336663044,0.0,4,18-7-2009,13,200,2940,1.0
0,3,2009-07-14T22:50:13.806+0000,4,thiru_mg,2009-06-06T04:13:03.651+0000,2009-06-08T21:54:31.105+0000,0,AVRO,14,1,AVRO-48,99.0,87,0,1,3207.34803317,0,2009-06-06T04:13:03.651+0000,0.0,129,0,0.0,Non-existent to Open,5.0,23.0,6.0,6.0,2009.0,236487.454,0.0,12.373650436881205,0.0,4,6-6-2009,13,188,2940,1.0
0,3,2009-07-14T22:50:13.806+0000,4,thiru_mg,2009-06-06T04:13:03.651+0000,2009-06-08T21:54:31.105+0000,0,AVRO,14,1,AVRO-48,99.0,87,0,1,3207.34803317,1,2009-06-06T04:15:31.913+0000,0.00171599537037,129,1,0.00171599537037,Open to Patch Available,5.0,23.0,6.0,6.0,2009.0,236339.192,148.262,12.373023306383743,1.0,4,6-6-2009,1,188,2940,1.0
